Symbol / Abbreviation,Name in r3PG Fortran code,3-PG species parameter,Description,Units
Rfraction,manag_remove_prop_compartment,,Mean single-tree root biomass of removed trees relative to that of the mean tree prior to thinning ,
RGcGw,RGcGw,*,The ratio of diffusivities of CO2 and water vapour in air,
rhL,height_rel_wt,,Height of a cohort relative to the weighted average (by L) height of all cohorts.,
RIr,irrig_supl,,Supplemental irrigation,mm
RP ,prcp,,Precipitation,mm
s,e20,,The slope of saturated vapour pressure versus temperature curve at a temperature of 20°C,
SA,CrownSA,,Mean tree crown surface area,m2/tree
sc,...WeibullShape,,scale parameter of Weibull distribution,
scB0 ,Dscale0,*,Constant in the relationship for Weibull scale parameter of D distribution,
scBB ,DscaleB,*,Slope of DBH in relationship for Weibull scale parameter of D distribution,
scBC ,DscaleC,*,Slope of competition in relationship for Weibull scale parameter of D distribution,
scBrh ,Dscalerh,*,Slope of relative height in relationship for Weibull scale parameter of D distribution,
scBt ,Dscalet,*,Slope of age in relationship for Weibull scale parameter of D distribution,
Sfraction,manag_remove_prop_compartment,,Mean single-tree stem biomass of removed trees relative to that of the mean tree prior to thinning ,
sh,...WeibullScale,,shape parameter of Weibull distribution,
shB0 ,Dshape0,*,Constant in the relationship for Weibull shape parameter of D distribution,
shBB ,DshapeB,*,Slope of DBH in relationship for Weibull shape parameter of D distribution,
shBC ,DshapeC,*,Slope of competition in relationship for Weibull shape parameter of D distribution,
shBrh ,Dshaperh,*,Slope of relative height in relationship for Weibull shape parameter of D distribution,
shBt ,Dshapet,*,Slope of age in relationship for Weibull shape parameter of D distribution,
sizeclass ,,,the diameter or ws size class,
SLA,SLA,,Specific leaf area,m2 kg-1
sp,,,"The proportion of a stand (in terms of L, basal area etc) that is a given cohort",
SR,coppice_sr_ratio,,Stem biomass to root biomass ratio immediately prior to a coppice defoliation event.,
t,age,,Age,years
Ta,tmp_ave,,Mean monthly temperature,deg. C
tC,fullCanAge,*,The age at which the canopy closes,years
Tmax,Tmax,*,Maximum temperature for growth,deg. C
Tmin,Tmin,*,Minimum temperature for growth,deg. C
Topt,Topt,*,Optimum temperature for growth,deg. C
transp_model,,,"setting, '1' = 3-PGpjs (default); '2' = 3-Pgmix",
tx,MaxAge,*,Maximum stand age used in age modifier,years
tγF ,tgammaF,*,Age at which litterfall rate is ½(γF0 + γF1),months
tγN ,tgammaN,,Age at which mortality rate has median value,years
tρ ,tRho,*,Age at which rho = (rhoMin+rhoMax)/2,years
tρ ,tBB,*,Age at which ρ = ½( ρ0 + ρ1),years
tσ,tSLA,*,Age at which σ = (σ0+σ1)/2,years
vfrac,canopy_vol_frac,,"Sum of the crown volume (m3) of all crowns within a given layer within one hectare, divided by the total volume of that layer (m3)",
VPD,"vpd_day, VPD_sp",,Vapour pressure deficit,mbar
VS,volume,,Stand volume,m3 ha-1
WF,biom_foliage,,Foliage biomass,tDM ha-1
"WF,pre,adj",biom_foliage_adj_pre_def,,Foliage mass of the trees that survived the defoliation event (adjusted for trees that were killed),tDM ha-1
wi,weight,,"Weighting calculated using a relative height weighted by leaf area index, which is used to distribute background mortality between cohorts",
WR,biom_root,,Root biomass,tDM ha-1
"WR,loss",,,Root biomass lost due to natural root pruning after recovering from a coppice defoliation event if the stem to root mass ratio is still lower than it was before defoliation,tDM ha-1
WS,biom_stem,,"Stem biomass, including branches and bark",tDM ha-1
"WS,post ",biom_stem,,stem biomass after thinning,tDM ha-1
"WS,pre ",biom_stem,,stem biomass before thinning,tDM ha-1
wSx,biom_tree_max,,Maximum stem mass per tree @ N (mort_model = 1),kg/tree
wSx1000,wSx1000,*,Maximum stem mass per tree @ N = 1000 trees/hectare (mort_model = 1),kg/tree
Y,Y,*,Ratio NPP/GPP,
zadj,,,Zenith angle,
αC,alpha_c,,Quantum canopy efficiency (after applying the growth modifiers),mol C mol-1 PAR
αCx,alphaCx,*,Maximum quantum canopy efficiency (before applying the growth modifiers),mol C mol-1 PAR
ϐ0,beta0,,constant for self-thinning (mort_model = 3),
ϐ1,betaB,,Power for B (mort_model = 3),
ϐ2,betaN,,Power in tree density (mort_model = 3),
ϐ3,betafN,,Power in nutrition modifier (mort_model = 3),
ϐ4,betafT,,Power in temperature modifier (mort_model = 3),
ϐ5,betafPhys,,Power in physmod modifier (mort_model = 3),
γ,gammaAPAR,*,Parameter to amplify light benefit to shorter cohorts,
γF,gammaF,*,Average monthly litterfall rate (Fraction of WF that falls as litter per month),1/month
γF0 ,gammaF0,*,Litterfall rate at t = 0,1/month
γF1 ,gammaF1,*,Maximum litterfall rate,1/month
γN ,ngammaN,,Shape of mortality response,-
γN0 ,gammaN0,,Seedling mortality rate (t = 0),%/year
γN1 ,gammaN1,,Mortality rate for large t,%/year
γR,gammaR,*,Average monthly root turnover rate,1/month
δ13Ca,d13Catm,,δ13Ca of atmospheric CO2,per million
δ13Cs,D13CNewPS,,δ13C of tree rings ,
ε,epsilon,,Light use efficiency (GPP / ϕpa),gDM MJ-1
ζ,canopy_cover,,Fraction of ground area covered by canopy,
ηF,npp_fract_foliage,,Fraction of NPP partitioned to foliage biomass,
ηF2,npp_fract_foliage,,Fraction of NPP partitioned to foliage biomass following defoliation,
ηFS,,,Fraction of NPP partitioned to foliage + stem biomass following defoliation,
ηR,npp_fract_root,,Fraction of NPP partitioned to root biomass,
ηR2,npp_fract_root,,Fraction of NPP partitioned to stem biomass following defoliation,
ηRn,pRn,*,Minimum fraction of NPP to roots,
ηRx,pRx,*,Maximum fraction of NPP to roots,
ηS,npp_fract_stem,,Fraction of NPP partitioned to stem biomass,
ηS2,npp_fract_stem,,Fraction of NPP partitioned to root biomass following defoliation,
θS,ASW,,Available soil water,mm
θSx,asw_max,,Maximum available soil water,mm
λ,lambda,,latent heat of vaporisation of water (2.46 ´ 106 J kg-1),2.46 x 106 J kg-1
λh,lambda_h,,Constant used to account for horizontal canopy heterogeneity,
λv,lambda_v,,Constant used to account for vertical canopy heterogeneity,
ρ,wood_density,,Wood basic density,Mg m-3 = g cm-3
ρ0 ,rhoMin,*,Minimum basic density - for young trees,Mg m-3 = g cm-3
ρ0 ,fracBB0,*,Branch and bark fraction at age 0,
ρ1,rhoMax,*,Maximum basic density - for older trees,Mg m-3 = g cm-3
ρ1 ,fracBB1,*,Branch and bark fraction for mature stands,
ρa ,rhoAir,,air density,1.2 kg m-3
σ,SLA,,Specific leaf area,m2 kg-1
σ0,SLA0,*,Specific leaf area at age 0,m2 kg-1
σ1,SLA1,*,Specific leaf area for mature leaves,m2 kg-1
φ,f_phys,,"Dimensionless growth modifier quantifying the effect soil moisture, vapour pressure deficit and age",
φ’lt ,lt_fPhys_ave,,"Long-term dimensionless growth modifier quantifying the effect soil moisture, vapour pressure deficit (not age), averaged across all cohorts (weighted by their contribution to stand basal area)",
ϕn,netRad,,total net radiation ,W m-2
ϕp,RADt,,Photosynthetically active radiation,"µmol photons m-2 s-1, or MJ m-2 month-1"
"ϕp,above",RADt,,Photosynthetically active radiation above the canopy,"µmol photons m-2 s-1, or MJ m-2 month-1"
"ϕp,stand",sum( apar(:) ),,"Sum of the ϕpa,final of all cohorts within a stand","µmol photons m-2 s-1, or MJ m-2 month-1"
ϕpa,apar,,Absorbed photosynthetically active radiation,MJ m-2 month-1
"ϕpa,final",apar,,ϕpa after aplying mAPAR,"µmol photons m-2 s-1, or MJ m-2 month-1"
Picture,,,Mean daily solar radiation above the canopy over the time period Δt ,MJ m-2d-1
,def_recover_t,,"Maximum time to recover from defoliation. After this time growth is only from npp (not non-structural carbohydrates), and biomass partitioning returns to normal.",months
,lt_mod_mths,,Number of months considered to be long-term when calculating the long-term average modifier values for density-dependent mortality,months
